Domain,Area,Element,Item,Year,Value
"Suite of Food Security Indicators","Bangladesh","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bangladesh","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bangladesh","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bangladesh","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bangladesh","Value","Political stability and absence of violence/terrorism (index)","2021","-1.04"
"Suite of Food Security Indicators","Bangladesh","Value","Political stability and absence of violence/terrorism (index)","2022","-1.05"
"Suite of Food Security Indicators","Bangladesh","Value","Number of obese adults (18 years and older) (million)","2021","5.7"
"Suite of Food Security Indicators","Bangladesh","Value","Number of obese adults (18 years and older) (million)","2022","6.2"
"Suite of Food Security Indicators","Barbados","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","15684"
"Suite of Food Security Indicators","Barbados","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","18470"
"Suite of Food Security Indicators","Barbados","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","19225"
"Suite of Food Security Indicators","Barbados","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","19946"
"Suite of Food Security Indicators","Barbados","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","7.4"
"Suite of Food Security Indicators","Barbados","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","7.4"
"Suite of Food Security Indicators","Barbados","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Barbados","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","6.8"
"Suite of Food Security Indicators","Barbados","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","6.8"
"Suite of Food Security Indicators","Barbados","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Barbados","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","8"
"Suite of Food Security Indicators","Barbados","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","8"
"Suite of Food Security Indicators","Barbados","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Barbados","Value","Political stability and absence of violence/terrorism (index)","2021","1.12"
"Suite of Food Security Indicators","Barbados","Value","Political stability and absence of violence/terrorism (index)","2022","1.14"
"Suite of Food Security Indicators","Barbados","Value","Number of obese adults (18 years and older) (million)","2021","0.1"
"Suite of Food Security Indicators","Barbados","Value","Number of obese adults (18 years and older) (million)","2022","0.1"
"Suite of Food Security Indicators","Belarus","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","27611"
"Suite of Food Security Indicators","Belarus","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","26538"
"Suite of Food Security Indicators","Belarus","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","27782"
"Suite of Food Security Indicators","Belarus","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","29038"
"Suite of Food Security Indicators","Belarus","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Belarus","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","<0.5"
"Suite of Food Security Indicators","Belarus","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","<0.5"
"Suite of Food Security Indicators","Belarus","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Belarus","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","<0.5"
"Suite of Food Security Indicators","Belarus","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","<0.5"
"Suite of Food Security Indicators","Belarus","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Belarus","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","<0.5"
"Suite of Food Security Indicators","Belarus","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","<0.5"
"Suite of Food Security Indicators","Belarus","Value","Political stability and absence of violence/terrorism (index)","2021","-0.75"
"Suite of Food Security Indicators","Belarus","Value","Political stability and absence of violence/terrorism (index)","2022","-0.8"
"Suite of Food Security Indicators","Belarus","Value","Number of obese adults (18 years and older) (million)","2021","1.6"
"Suite of Food Security Indicators","Belarus","Value","Number of obese adults (18 years and older) (million)","2022","1.6"
"Suite of Food Security Indicators","Belgium","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","60669"
"Suite of Food Security Indicators","Belgium","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","62744"
"Suite of Food Security Indicators","Belgium","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","62921"
"Suite of Food Security Indicators","Belgium","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","63083"
"Suite of Food Security Indicators","Belgium","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","1.5"
"Suite of Food Security Indicators","Belgium","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","2"
"Suite of Food Security Indicators","Belgium","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","2.4"
"Suite of Food Security Indicators","Belgium","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","1.6"
"Suite of Food Security Indicators","Belgium","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","2"
"Suite of Food Security Indicators","Belgium","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","2.1"
"Suite of Food Security Indicators","Belgium","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","1.5"
